application_id,county,program,application_date,age,application_stage,status,completion_status,reason_not_enrolled,cohort_year,Applied,Screened,Interviewed,Enrolled,Drop-off Stage
PTG-116285,Nakuru,STEM Cafe Kenya,2018-05-30,24,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2018,Yes,Yes,No,No,Screening Drop-off
PTG-109609,Nairobi,Technovation,2018-08-07,20,Enrolled,Enrolled,In Progress,N/A - Enrolled,2018,Yes,Yes,Yes,Yes,Enrolled
PTG-102558,Nairobi,Mombasa Girls in STEM,2026-05-27,22,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2026,Yes,No,No,No,Application Drop-off
PTG-112221,Lamu,Technovation,2021-05-09,23,Applied Only - No Further Progress,Withdrawn,Not Enrolled,No trainer capacity,2021,Yes,No,No,No,Application Drop-off
PTG-112365,Nakuru,STEM Cafe Kenya,2018-12-05,22,Enrolled,Enrolled,Completed,N/A - Enrolled,2018,Yes,Yes,Yes,Yes,Enrolled
PTG-107614,Mombasa,STEM Cafe Kenya,2022-08-06,23,Applied Only - No Further Progress,Rejected,Not Enrolled,Failed screening,2022,Yes,No,No,No,Application Drop-off
PTG-113688,Mombasa,STEM Cafe Kenya,2025-03-08,17,Applied Only - No Further Progress,Rejected,Not Enrolled,Failed screening,2025,Yes,No,No,No,Application Drop-off
PTG-112855,Nakuru,Africa Code Week,2018-11-06,18,Applied Only - No Further Progress,Rejected,Not Enrolled,Failed screening,2018,Yes,No,No,No,Application Drop-off
PTG-108785,Nakuru,Mombasa Girls in STEM,2018-03-29,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2018,Yes,Yes,Yes,Yes,Enrolled
PTG-111771,Nairobi,Africa Code Week,2024-07-19,18,Applied Only - No Further Progress,Rejected,Not Enrolled,Failed screening,2024,Yes,No,No,No,Application Drop-off
PTG-101142,Lamu,Codehack,2022-06-24,20,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2022,Yes,Yes,No,No,Screening Drop-off
PTG-101112,Nairobi,Codehack,2020-01-08,17,Applied Only - No Further Progress,Rejected,Not Enrolled,No trainer capacity,2020,Yes,No,No,No,Application Drop-off
PTG-113939,Nairobi,Africa Code Week,2020-01-08,20,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2020,Yes,No,No,No,Application Drop-off
PTG-111224,Mombasa,Django Girls,2026-03-19,18,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2026,Yes,Yes,No,No,Screening Drop-off
PTG-112905,Kisumu,Django Girls,2025-02-17,17,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-112506,Nairobi,Codehack,2020-04-17,20,Interviewed - Not Enrolled,Rejected,Not Enrolled,Ineligible (age/criteria),2020,Yes,Yes,Yes,No,Interview Drop-off
PTG-108695,Nairobi,Mombasa Girls in STEM,2017-09-27,27,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2017,Yes,Yes,No,No,Screening Drop-off
PTG-101943,Mombasa,Codehack,2025-11-25,17,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-113583,Nairobi,Technovation,2015-01-25,23,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2015,Yes,No,No,No,Application Drop-off
PTG-105391,Mombasa,Codehack,2019-03-02,17,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2019,Yes,Yes,No,No,Screening Drop-off
PTG-104328,Mombasa,Codehack,2021-03-22,19,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2021,Yes,No,No,No,Application Drop-off
PTG-105820,Mombasa,Django Girls,2021-02-21,22,Enrolled,Enrolled,Completed,N/A - Enrolled,2021,Yes,Yes,Yes,Yes,Enrolled
PTG-102816,Kisumu,Codehack,2022-10-06,22,Enrolled,Enrolled,Completed,N/A - Enrolled,2022,Yes,Yes,Yes,Yes,Enrolled
PTG-114251,Mombasa,STEM Cafe Kenya,2025-07-11,19,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Failed screening,2025,Yes,No,No,No,Application Drop-off
PTG-115565,Nairobi,Africa Code Week,2025-12-23,26,Applied Only - No Further Progress,Rejected,Not Enrolled,Failed screening,2025,Yes,No,No,No,Application Drop-off
PTG-115629,Mombasa,Africa Code Week,2023-10-03,18,Enrolled,Enrolled,Completed,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-116680,Nairobi,Technovation,2020-11-08,21,Enrolled,Enrolled,Completed,N/A - Enrolled,2020,Yes,Yes,Yes,Yes,Enrolled
PTG-116671,Mombasa,Africa Code Week,2017-02-17,21,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Failed screening,2017,Yes,No,No,No,Application Drop-off
PTG-100921,Mombasa,Django Girls,2017-05-26,26,Enrolled,Enrolled,Completed,N/A - Enrolled,2017,Yes,Yes,Yes,Yes,Enrolled
PTG-110994,Mombasa,Mombasa Girls in STEM,2023-03-22,18,Applied Only - No Further Progress,Rejected,Not Enrolled,Not Specified,2023,Yes,No,No,No,Application Drop-off
PTG-107547,Mombasa,Django Girls,2022-10-26,20,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2022,Yes,Yes,No,No,Screening Drop-off
PTG-104660,Nairobi,Codehack,2015-09-12,23,Screened - Not Interviewed,Rejected,Not Enrolled,Failed screening,2015,Yes,Yes,No,No,Screening Drop-off
PTG-112188,Mombasa,Codehack,2025-01-19,18,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-117748,Lamu,Africa Code Week,2025-09-08,19,Applied Only - No Further Progress,Rejected,Not Enrolled,No trainer capacity,2025,Yes,No,No,No,Application Drop-off
PTG-102006,Mombasa,Africa Code Week,2018-01-25,23,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2018,Yes,Yes,No,No,Screening Drop-off
PTG-109665,Nairobi,Africa Code Week,2025-04-02,24,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-117622,Nakuru,STEM Cafe Kenya,2022-11-17,22,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2022,Yes,No,No,No,Application Drop-off
PTG-106986,Nairobi,Technovation,2018-09-24,24,Screened - Not Interviewed,Rejected,Not Enrolled,Failed screening,2018,Yes,Yes,No,No,Screening Drop-off
PTG-103780,Nakuru,Mombasa Girls in STEM,2025-07-18,21,Applied Only - No Further Progress,Rejected,Not Enrolled,No trainer capacity,2025,Yes,No,No,No,Application Drop-off
PTG-105582,Nakuru,Technovation,2022-09-07,20,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2022,Yes,Yes,No,No,Screening Drop-off
PTG-118098,Kisumu,Django Girls,2023-05-10,20,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2023,Yes,No,No,No,Application Drop-off
PTG-107121,Nakuru,Africa Code Week,2024-10-22,22,Applied Only - No Further Progress,Rejected,Not Enrolled,No trainer capacity,2024,Yes,No,No,No,Application Drop-off
PTG-105143,Nairobi,STEM Cafe Kenya,2023-11-05,23,Screened - Not Interviewed,Rejected,Not Enrolled,Failed screening,2023,Yes,Yes,No,No,Screening Drop-off
PTG-112482,Kisumu,Africa Code Week,2015-09-26,20,Interviewed - Not Enrolled,Rejected,Not Enrolled,Device unavailable,2015,Yes,Yes,Yes,No,Interview Drop-off
PTG-108498,Nairobi,STEM Cafe Kenya,2025-07-25,20,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2025,Yes,Yes,No,No,Screening Drop-off
PTG-109877,Mombasa,Codehack,2021-12-28,24,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2021,Yes,No,No,No,Application Drop-off
PTG-116173,Lamu,Technovation,2016-09-18,19,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2016,Yes,Yes,No,No,Screening Drop-off
PTG-108089,Mombasa,Mombasa Girls in STEM,2023-01-20,17,Screened - Not Interviewed,Rejected,Not Enrolled,Ineligible (age/criteria),2023,Yes,Yes,No,No,Screening Drop-off
PTG-102433,Mombasa,Technovation,2023-04-12,18,Applied Only - No Further Progress,Rejected,Not Enrolled,Ineligible (age/criteria),2023,Yes,No,No,No,Application Drop-off
PTG-117011,Nakuru,Codehack,2019-06-07,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2019,Yes,Yes,Yes,Yes,Enrolled
PTG-119993,Kisumu,Mombasa Girls in STEM,2019-12-28,21,Applied Only - No Further Progress,Rejected,Not Enrolled,Applicant withdrew,2019,Yes,No,No,No,Application Drop-off
PTG-114231,Nakuru,Africa Code Week,2022-12-07,21,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2022,Yes,No,No,No,Application Drop-off
PTG-116884,Mombasa,STEM Cafe Kenya,2026-01-17,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2026,Yes,Yes,Yes,Yes,Enrolled
PTG-106215,Mombasa,Africa Code Week,2023-03-11,17,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2023,Yes,Yes,No,No,Screening Drop-off
PTG-114351,Nairobi,Technovation,2021-02-26,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2021,Yes,Yes,Yes,Yes,Enrolled
PTG-100849,Lamu,STEM Cafe Kenya,2020-09-07,22,Enrolled,Enrolled,Completed,N/A - Enrolled,2020,Yes,Yes,Yes,Yes,Enrolled
PTG-110192,Nairobi,Mombasa Girls in STEM,2023-03-05,24,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Failed screening,2023,Yes,No,No,No,Application Drop-off
PTG-113057,Mombasa,STEM Cafe Kenya,2019-08-10,21,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2019,Yes,No,No,No,Application Drop-off
PTG-111370,Mombasa,Mombasa Girls in STEM,2016-06-02,18,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2016,Yes,No,No,No,Application Drop-off
PTG-116631,Nairobi,STEM Cafe Kenya,2019-06-14,23,Enrolled,Enrolled,Completed,N/A - Enrolled,2019,Yes,Yes,Yes,Yes,Enrolled
PTG-101136,Lamu,Africa Code Week,2017-11-03,17,Screened - Not Interviewed,Rejected,Not Enrolled,Applicant withdrew,2017,Yes,Yes,No,No,Screening Drop-off
PTG-117247,Mombasa,Django Girls,2016-05-14,18,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2016,Yes,No,No,No,Application Drop-off
PTG-113708,Mombasa,Django Girls,2025-08-25,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-118137,Lamu,Codehack,2022-12-22,24,Enrolled,Enrolled,Completed,N/A - Enrolled,2022,Yes,Yes,Yes,Yes,Enrolled
PTG-112338,Mombasa,Mombasa Girls in STEM,2023-12-25,24,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2023,Yes,No,No,No,Application Drop-off
PTG-105539,Kisumu,Mombasa Girls in STEM,2024-07-26,19,Interviewed - Not Enrolled,Rejected,Not Enrolled,Failed screening,2024,Yes,Yes,Yes,No,Interview Drop-off
PTG-117499,Nairobi,Africa Code Week,2022-05-14,21,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2022,Yes,No,No,No,Application Drop-off
PTG-109649,Kisumu,Technovation,2019-08-06,17,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2019,Yes,Yes,No,No,Screening Drop-off
PTG-100501,Mombasa,Mombasa Girls in STEM,2024-04-01,17,Enrolled,Enrolled,Completed,N/A - Enrolled,2024,Yes,Yes,Yes,Yes,Enrolled
PTG-108271,Nakuru,STEM Cafe Kenya,2024-03-11,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2024,Yes,Yes,Yes,Yes,Enrolled
PTG-106264,Mombasa,Technovation,2023-04-07,24,Enrolled,Enrolled,Completed,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-107543,Nairobi,Technovation,2022-06-05,18,Screened - Not Interviewed,Rejected,Not Enrolled,Failed screening,2022,Yes,Yes,No,No,Screening Drop-off
PTG-111656,Kisumu,STEM Cafe Kenya,2026-02-11,22,Screened - Not Interviewed,Rejected,Not Enrolled,Failed screening,2026,Yes,Yes,No,No,Screening Drop-off
PTG-106746,Nairobi,Africa Code Week,2021-11-16,18,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2021,Yes,Yes,Yes,Yes,Enrolled
PTG-105649,Mombasa,Africa Code Week,2025-02-28,22,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2025,Yes,Yes,No,No,Screening Drop-off
PTG-106292,Mombasa,STEM Cafe Kenya,2026-02-16,17,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2026,Yes,No,No,No,Application Drop-off
PTG-109983,Mombasa,Mombasa Girls in STEM,2021-11-30,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2021,Yes,Yes,Yes,Yes,Enrolled
PTG-109805,Mombasa,Technovation,2025-08-13,24,Interviewed - Not Enrolled,Rejected,Not Enrolled,Ineligible (age/criteria),2025,Yes,Yes,Yes,No,Interview Drop-off
PTG-107213,Lamu,Django Girls,2022-06-29,24,Interviewed - Not Enrolled,Rejected,Not Enrolled,Device unavailable,2022,Yes,Yes,Yes,No,Interview Drop-off
PTG-109391,Kisumu,STEM Cafe Kenya,2019-10-26,17,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2019,Yes,Yes,No,No,Screening Drop-off
PTG-104388,Mombasa,STEM Cafe Kenya,2023-08-14,26,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2023,Yes,No,No,No,Application Drop-off
PTG-107486,Mombasa,Technovation,2019-10-18,18,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2019,Yes,Yes,No,No,Screening Drop-off
PTG-116091,Nairobi,Technovation,2024-07-21,17,Applied Only - No Further Progress,Rejected,Not Enrolled,Failed screening,2024,Yes,No,No,No,Application Drop-off
PTG-114802,Mombasa,Django Girls,2019-08-09,22,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2019,Yes,Yes,No,No,Screening Drop-off
PTG-119426,Kisumu,Technovation,2024-03-04,23,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Applicant withdrew,2024,Yes,No,No,No,Application Drop-off
PTG-106597,Nairobi,Technovation,2025-07-23,22,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2025,Yes,Yes,No,No,Screening Drop-off
PTG-103844,Mombasa,Africa Code Week,2024-12-02,19,Screened - Not Interviewed,Rejected,Not Enrolled,Applicant withdrew,2024,Yes,Yes,No,No,Screening Drop-off
PTG-115500,Nairobi,Codehack,2025-01-20,19,Interviewed - Not Enrolled,Withdrawn,Not Enrolled,Failed screening,2025,Yes,Yes,Yes,No,Interview Drop-off
PTG-103482,Mombasa,Django Girls,2021-11-27,25,Applied Only - No Further Progress,Rejected,Not Enrolled,Failed screening,2021,Yes,No,No,No,Application Drop-off
PTG-101858,Mombasa,Codehack,2016-12-23,21,Enrolled,Enrolled,Completed,N/A - Enrolled,2016,Yes,Yes,Yes,Yes,Enrolled
PTG-105840,Mombasa,Codehack,2025-02-15,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-114528,Kisumu,Mombasa Girls in STEM,2024-07-15,20,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2024,Yes,Yes,No,No,Screening Drop-off
PTG-113844,Kisumu,STEM Cafe Kenya,2025-02-21,22,Screened - Not Interviewed,Rejected,Not Enrolled,Ineligible (age/criteria),2025,Yes,Yes,No,No,Screening Drop-off
PTG-103516,Nairobi,Codehack,2016-05-29,20,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Applicant withdrew,2016,Yes,No,No,No,Application Drop-off
PTG-111838,Nakuru,Django Girls,2020-07-22,24,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Applicant withdrew,2020,Yes,No,No,No,Application Drop-off
PTG-116371,Nakuru,Technovation,2024-09-30,24,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2024,Yes,No,No,No,Application Drop-off
PTG-102623,Nairobi,Codehack,2024-08-01,21,Enrolled,Enrolled,Completed,N/A - Enrolled,2024,Yes,Yes,Yes,Yes,Enrolled
PTG-113537,Mombasa,Django Girls,2024-09-09,21,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2024,Yes,Yes,Yes,Yes,Enrolled
PTG-105099,Nairobi,Technovation,2024-11-20,20,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2024,Yes,No,No,No,Application Drop-off
PTG-114715,Mombasa,Codehack,2025-02-10,24,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2025,Yes,Yes,No,No,Screening Drop-off
PTG-112035,Nairobi,STEM Cafe Kenya,2025-01-06,17,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-117584,Mombasa,Mombasa Girls in STEM,2023-02-03,23,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2023,Yes,Yes,No,No,Screening Drop-off
PTG-107202,Mombasa,Africa Code Week,2022-03-02,20,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2022,Yes,No,No,No,Application Drop-off
PTG-110995,Nakuru,Technovation,2022-07-18,20,Screened - Not Interviewed,Rejected,Not Enrolled,Ineligible (age/criteria),2022,Yes,Yes,No,No,Screening Drop-off
PTG-115407,Nairobi,Mombasa Girls in STEM,2019-08-30,17,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Ineligible (age/criteria),2019,Yes,No,No,No,Application Drop-off
PTG-113574,Kisumu,Technovation,2025-05-21,24,Interviewed - Not Enrolled,Rejected,Not Enrolled,Device unavailable,2025,Yes,Yes,Yes,No,Interview Drop-off
PTG-117608,Kisumu,Codehack,2026-05-28,18,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2026,Yes,Yes,No,No,Screening Drop-off
PTG-107308,Nakuru,Africa Code Week,2021-09-17,17,Enrolled,Enrolled,Completed,N/A - Enrolled,2021,Yes,Yes,Yes,Yes,Enrolled
PTG-107911,Lamu,Mombasa Girls in STEM,2020-12-28,17,Enrolled,Enrolled,Completed,N/A - Enrolled,2020,Yes,Yes,Yes,Yes,Enrolled
PTG-118543,Lamu,Codehack,2026-03-25,22,Interviewed - Not Enrolled,Withdrawn,Not Enrolled,Session full / capacity reached,2026,Yes,Yes,Yes,No,Interview Drop-off
PTG-105304,Nairobi,Django Girls,2018-07-04,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2018,Yes,Yes,Yes,Yes,Enrolled
PTG-118760,Nairobi,Africa Code Week,2025-03-31,25,Interviewed - Not Enrolled,Withdrawn,Not Enrolled,Not Specified,2025,Yes,Yes,Yes,No,Interview Drop-off
PTG-112785,Mombasa,Technovation,2022-12-26,20,Applied Only - No Further Progress,Rejected,Not Enrolled,No trainer capacity,2022,Yes,No,No,No,Application Drop-off
PTG-120087,Nakuru,Technovation,2025-12-31,21,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Ineligible (age/criteria),2025,Yes,No,No,No,Application Drop-off
PTG-112339,Nairobi,Mombasa Girls in STEM,2017-11-21,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2017,Yes,Yes,Yes,Yes,Enrolled
PTG-105329,Mombasa,Codehack,2017-10-04,18,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2017,Yes,Yes,No,No,Screening Drop-off
PTG-119288,Kisumu,Technovation,2018-06-21,23,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2018,Yes,No,No,No,Application Drop-off
PTG-110471,Mombasa,Mombasa Girls in STEM,2026-06-07,17,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2026,Yes,Yes,No,No,Screening Drop-off
PTG-100210,Nairobi,Technovation,2026-02-21,18,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2026,Yes,Yes,No,No,Screening Drop-off
PTG-107888,Mombasa,Technovation,2022-01-18,26,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Applicant withdrew,2022,Yes,No,No,No,Application Drop-off
PTG-116890,Nakuru,Codehack,2017-08-14,22,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2017,Yes,Yes,No,No,Screening Drop-off
PTG-104177,Nakuru,Codehack,2020-03-13,25,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2020,Yes,No,No,No,Application Drop-off
